emp_no,first_name,last_name,title,from_date,to_date,dept_name
76358,Jordanka,Chinal,Engineer,1985-06-03,1994-06-03,Development
76358,Jordanka,Chinal,Senior Engineer,1994-06-03,1999-01-01,Development
76373,Duangkaew,Tsunoo,Senior Staff,1997-06-23,1999-01-01,Customer Service
76373,Duangkaew,Tsunoo,Staff,1989-06-23,1997-06-23,Customer Service
76374,Giao,Brookman,Engineer,1997-05-05,1999-01-01,Production
76396,Khun,Kakkad,Senior Staff,1995-04-15,1999-01-01,Customer Service
76396,Khun,Kakkad,Staff,1988-04-14,1995-04-15,Customer Service
76398,Younwoo,Heijenga,Senior Staff,2000-01-31,1999-01-01,Customer Service
76398,Younwoo,Heijenga,Senior Staff,2000-01-31,1999-01-01,Production
76408,JiYoung,Ananiadou,Engineer,1988-01-11,1993-01-10,Development
76408,JiYoung,Ananiadou,Senior Engineer,1993-01-10,1999-01-01,Development
76425,Kshitij,Hockney,Engineer,1987-11-21,1996-11-20,Development
76425,Kshitij,Hockney,Senior Engineer,1996-11-20,1999-01-01,Development
76427,Dhritiman,Conte,Senior Staff,1988-01-26,1999-01-01,Finance
76443,Ute,Arlazarov,Senior Staff,1990-05-04,1999-01-01,Human Resources
76443,Ute,Arlazarov,Staff,1985-05-04,1990-05-04,Human Resources
76444,Geoff,Validov,Senior Engineer,1987-10-12,1999-01-01,Quality Management
76455,Jolita,Redmiles,Senior Staff,1992-01-29,1999-01-01,Finance
76455,Jolita,Redmiles,Staff,1987-01-29,1992-01-29,Finance
76465,Jessie,Smailagic,Senior Engineer,1991-10-04,1999-01-01,Production
76477,Fumitake,Callaway,Engineer,1990-05-22,1995-05-22,Production
76477,Fumitake,Callaway,Senior Engineer,1995-05-22,1999-01-01,Production
76484,Leucio,Raoux,Senior Staff,1996-01-15,1999-01-01,Customer Service
76484,Leucio,Raoux,Staff,1988-01-15,1996-01-15,Customer Service
76488,Baruch,Sridhar,Technique Leader,1988-06-19,1999-01-01,Development
76488,Baruch,Sridhar,Technique Leader,1988-06-19,1999-01-01,Production
76493,Mansur,Oxman,Senior Staff,2000-06-02,1999-01-01,Sales
76493,Mansur,Oxman,Staff,1992-06-02,2000-06-02,Sales
76516,Arnd,Kroll,Senior Staff,1998-06-29,1999-01-01,Sales
76516,Arnd,Kroll,Staff,1989-06-29,1998-06-29,Sales
76521,Uinam,Fritzsche,Engineer,1999-08-24,1999-01-01,Production
76530,Honesty,Benner,Engineer,1988-09-09,1996-09-09,Development
76530,Honesty,Benner,Senior Engineer,1996-09-09,1999-01-01,Development
76536,Mikhail,Daescu,Senior Engineer,1989-10-31,1999-01-01,Customer Service
76536,Mikhail,Daescu,Senior Engineer,1989-10-31,1999-01-01,Production
76539,Cordelia,Monarch,Engineer,1987-02-05,1993-02-04,Development
76539,Cordelia,Monarch,Senior Engineer,1993-02-04,1999-01-01,Development
76541,Nigel,Bharadwaj,Senior Staff,1993-03-03,1999-01-01,Marketing
76541,Nigel,Bharadwaj,Staff,1987-03-04,1993-03-03,Marketing
76543,Reinhold,Miculan,Senior Staff,1993-11-14,1999-01-01,Research
76543,Reinhold,Miculan,Staff,1986-11-14,1993-11-14,Research
76549,Goetz,Narwekar,Senior Staff,1986-04-21,1999-01-01,Marketing
76562,Renee,Basart,Senior Staff,1995-10-30,1999-01-01,Sales
76562,Renee,Basart,Staff,1986-10-30,1995-10-30,Sales
76586,Karlis,Schurmann,Engineer,1987-07-07,1995-07-07,Production
76586,Karlis,Schurmann,Senior Engineer,1995-07-07,1999-01-01,Production
76590,Mats,Bazelow,Senior Staff,1994-08-30,1999-01-01,Sales
76590,Mats,Bazelow,Staff,1987-08-30,1994-08-30,Sales
76605,Randy,Slobodova,Senior Staff,1991-11-30,1999-01-01,Finance
76642,Hein,Goldhammer,Engineer,1985-12-05,1990-12-05,Production
76642,Hein,Goldhammer,Senior Engineer,1990-12-05,1999-01-01,Production
76644,Huei,Junet,Engineer,1998-12-11,1999-01-01,Research
76644,Huei,Junet,Engineer,1998-12-11,1999-01-01,Development
76667,Luisa,Puppe,Senior Staff,1997-07-05,1999-01-01,Sales
76667,Luisa,Puppe,Staff,1988-07-05,1997-07-05,Sales
76672,Remko,Peris,Engineer,1988-12-07,1993-12-07,Quality Management
76672,Remko,Peris,Senior Engineer,1993-12-07,1999-01-01,Quality Management
76672,Remko,Peris,Engineer,1988-12-07,1993-12-07,Production
76672,Remko,Peris,Senior Engineer,1993-12-07,1999-01-01,Production
76673,Cathie,Rando,Engineer,1988-02-18,1997-02-17,Production
76673,Cathie,Rando,Senior Engineer,1997-02-17,1999-01-01,Production
76680,Uriel,Collette,Senior Staff,1998-01-07,1999-01-01,Research
76680,Uriel,Collette,Staff,1989-01-07,1998-01-07,Research
76687,Heeju,Siochi,Senior Engineer,1987-01-07,1999-01-01,Production
76689,Mansur,Steinauer,Engineer,1993-06-15,2001-06-15,Development
76689,Mansur,Steinauer,Senior Engineer,2001-06-15,1999-01-01,Development
76690,Shaowen,Danley,Engineer,1987-01-12,1994-01-12,Development
76690,Shaowen,Danley,Senior Engineer,1994-01-12,1999-01-01,Development
76696,Saniya,Steenbeek,Staff,1998-02-27,1999-01-01,Marketing
76703,Hairong,Huttel,Engineer,1992-01-08,1999-01-08,Development
76703,Hairong,Huttel,Senior Engineer,1999-01-08,1999-01-01,Development
76704,Valery,Shackel,Engineer,1988-09-10,1993-09-10,Production
76704,Valery,Shackel,Senior Engineer,1993-09-10,1999-01-01,Production
76709,Berto,Georg,Engineer,1988-07-11,1996-07-11,Development
76709,Berto,Georg,Senior Engineer,1996-07-11,1999-01-01,Development
76724,Gino,Lueh,Senior Staff,1996-05-24,1999-01-01,Human Resources
76724,Gino,Lueh,Staff,1987-05-25,1996-05-24,Human Resources
76727,Valeri,Dusink,Engineer,1988-04-28,1994-04-28,Development
76727,Valeri,Dusink,Senior Engineer,1994-04-28,1999-01-01,Development
76743,Mechthild,Simmel,Senior Staff,1997-10-21,1999-01-01,Human Resources
76743,Mechthild,Simmel,Staff,1988-10-21,1997-10-21,Human Resources
76749,Luise,Raoux,Staff,1994-08-01,1999-01-01,Sales
76750,Tomoyuki,Eastman,Technique Leader,1994-07-27,1999-01-01,Development
76754,Sanjay,Roison,Engineer,1987-11-22,1994-11-22,Development
76754,Sanjay,Roison,Senior Engineer,1994-11-22,1999-01-01,Development
76759,Zvonko,Hammerschmidt,Staff,1999-02-16,1999-01-01,Research
76760,Adib,Bale,Assistant Engineer,1993-02-04,2002-02-04,Production
76760,Adib,Bale,Engineer,2002-02-04,1999-01-01,Production
76761,Raimond,Aloia,Senior Staff,1994-02-14,1999-01-01,Marketing
76761,Raimond,Aloia,Staff,1987-02-14,1994-02-14,Marketing
76764,Shuzo,Gien,Engineer,1988-10-28,1996-10-27,Production
76764,Shuzo,Gien,Senior Engineer,1996-10-27,1999-01-01,Production
76766,Sariel,Maierhofer,Senior Staff,1987-08-27,1999-01-01,Customer Service
76772,Gao,Garigliano,Senior Engineer,1991-03-07,1999-01-01,Development
76775,Arfst,Pietrzykowski,Engineer,1988-04-25,1996-04-25,Production
76775,Arfst,Pietrzykowski,Senior Engineer,1996-04-25,1999-01-01,Production
76786,Tomofumi,Karlin,Engineer,1987-07-08,1994-07-08,Quality Management
76786,Tomofumi,Karlin,Senior Engineer,1994-07-08,1999-01-01,Quality Management
76786,Tomofumi,Karlin,Engineer,1987-07-08,1994-07-08,Production
76786,Tomofumi,Karlin,Senior Engineer,1994-07-08,1999-01-01,Production
76809,Sariel,Zhiwei,Engineer,1989-12-20,1997-12-20,Production
76809,Sariel,Zhiwei,Senior Engineer,1997-12-20,1999-01-01,Production
76811,Ronnie,Kushner,Staff,1997-05-15,1999-01-01,Finance
76813,Tua,Pietrzykowski,Engineer,1991-02-26,2000-02-26,Production
76813,Tua,Pietrzykowski,Senior Engineer,2000-02-26,1999-01-01,Production
76816,Aamod,Terlouw,Engineer,1996-03-18,1999-01-01,Quality Management
76822,Rafail,Gniady,Engineer,1986-07-03,1993-07-03,Development
76822,Rafail,Gniady,Senior Engineer,1993-07-03,1999-01-01,Development
76825,Sasan,Zaumen,Engineer,1986-03-25,1991-03-25,Development
76825,Sasan,Zaumen,Senior Engineer,1991-03-25,1999-01-01,Development
76825,Sasan,Zaumen,Engineer,1986-03-25,1991-03-25,Production
76825,Sasan,Zaumen,Senior Engineer,1991-03-25,1999-01-01,Production
76843,Dmitri,Bhattacharjee,Engineer,1987-10-11,1993-10-10,Customer Service
76843,Dmitri,Bhattacharjee,Senior Engineer,1993-10-10,1999-01-01,Customer Service
76843,Dmitri,Bhattacharjee,Engineer,1987-10-11,1993-10-10,Production
76843,Dmitri,Bhattacharjee,Senior Engineer,1993-10-10,1999-01-01,Production
76853,Sanjit,Puppo,Engineer,1986-08-25,1994-08-25,Customer Service
76853,Sanjit,Puppo,Senior Engineer,1994-08-25,1999-01-01,Customer Service
76853,Sanjit,Puppo,Engineer,1986-08-25,1994-08-25,Production
76853,Sanjit,Puppo,Senior Engineer,1994-08-25,1999-01-01,Production
76878,Abdelwaheb,Turnbull,Staff,1995-07-30,1999-01-01,Sales
76886,Shaw,Makrucki,Engineer,1989-08-04,1997-08-04,Production
76886,Shaw,Makrucki,Senior Engineer,1997-08-04,1999-01-01,Production
76895,Souichi,Meriste,Engineer,1993-04-01,2000-04-01,Development
76895,Souichi,Meriste,Senior Engineer,2000-04-01,1999-01-01,Development
76897,Achilleas,Bamford,Engineer,1999-07-27,1999-01-01,Production
76899,Hongzhu,Comte,Engineer,1987-06-05,1995-06-05,Production
76899,Hongzhu,Comte,Senior Engineer,1995-06-05,1999-01-01,Production
76905,Honesty,Rajcani,Staff,1994-02-06,1999-01-01,Human Resources
76909,Samphel,Luft,Engineer,1992-12-05,2001-12-05,Quality Management
76909,Samphel,Luft,Senior Engineer,2001-12-05,1999-01-01,Quality Management
76916,Yonghong,Morton,Engineer,1985-03-19,1992-03-19,Development
76916,Yonghong,Morton,Senior Engineer,1992-03-19,1999-01-01,Development
76923,Shigehito,Blokdijk,Engineer,1994-06-22,1999-06-22,Production
76923,Shigehito,Blokdijk,Senior Engineer,1999-06-22,1999-01-01,Production
76957,Saniya,Rosca,Technique Leader,1988-05-14,1999-01-01,Development
76961,Luisa,Nishimukai,Engineer,1987-05-26,1992-05-25,Production
76961,Luisa,Nishimukai,Senior Engineer,1992-05-25,1999-01-01,Production
76977,Sigeru,Stroustrup,Senior Staff,1994-03-20,1999-01-01,Sales
76977,Sigeru,Stroustrup,Staff,1985-03-20,1994-03-20,Sales
76977,Sigeru,Stroustrup,Senior Staff,1994-03-20,1999-01-01,Marketing
76977,Sigeru,Stroustrup,Staff,1985-03-20,1994-03-20,Marketing
76979,Claude,Fiutem,Senior Staff,1997-12-02,1999-01-01,Marketing
76979,Claude,Fiutem,Staff,1988-12-02,1997-12-02,Marketing
76985,Amalendu,Fontan,Senior Engineer,1991-03-15,1999-01-01,Development
77002,Aran,Ratnakar,Senior Engineer,1988-10-23,1999-01-01,Production
77005,Hercules,Rosin,Staff,1997-09-01,1999-01-01,Marketing
77014,Barry,Redmiles,Technique Leader,1986-04-25,1999-01-01,Production
77039,Susanta,Walston,Engineer,1987-02-25,1994-02-25,Production
77039,Susanta,Walston,Senior Engineer,1994-02-25,1999-01-01,Production
77043,Shaibal,Argence,Senior Staff,1987-12-16,1999-01-01,Finance
77052,Pohua,Hagimont,Engineer,1999-07-11,1999-01-01,Development
77059,Garnik,Slobodova,Senior Staff,1996-07-29,1999-01-01,Finance
77059,Garnik,Slobodova,Staff,1987-07-30,1996-07-29,Finance
77060,Menkae,Kleiser,Engineer,1999-01-29,1999-01-01,Production
77067,Cheong,Tokunaga,Engineer,1985-06-02,1992-06-02,Quality Management
77067,Cheong,Tokunaga,Senior Engineer,1992-06-02,1999-01-01,Quality Management
77068,Leucio,Rattan,Engineer,1988-12-04,1993-12-04,Development
77068,Leucio,Rattan,Senior Engineer,1993-12-04,1999-01-01,Development
77068,Leucio,Rattan,Engineer,1988-12-04,1993-12-04,Production
77068,Leucio,Rattan,Senior Engineer,1993-12-04,1999-01-01,Production
77081,Rance,Fritzsche,Senior Staff,1994-06-17,1999-01-01,Sales
77081,Rance,Fritzsche,Staff,1986-06-17,1994-06-17,Sales
77089,Renee,Wrigley,Engineer,1988-08-25,1997-08-25,Development
77089,Renee,Wrigley,Senior Engineer,1997-08-25,1999-01-01,Development
77100,Mihalis,Baaleh,Senior Engineer,1986-12-25,1999-01-01,Production
77102,Gad,Hettesheimer,Senior Staff,1993-08-07,1999-01-01,Marketing
77102,Gad,Hettesheimer,Staff,1985-08-07,1993-08-07,Marketing
77138,Haldun,Karner,Staff,1997-12-04,1999-01-01,Sales
77144,Gill,Milicia,Senior Staff,1992-08-17,1999-01-01,Sales
77147,Elrique,Baez,Engineer,1999-12-13,1999-01-01,Production
77159,Naftaly,Awdeh,Senior Staff,2000-11-11,1999-01-01,Customer Service
77159,Naftaly,Awdeh,Staff,1994-11-12,2000-11-11,Customer Service
77173,Sachem,Merey,Senior Staff,1987-12-18,1999-01-01,Sales
77179,Gonzalo,Garigliano,Staff,1999-04-20,1999-01-01,Human Resources
77181,Aiman,Irland,Senior Engineer,1997-08-04,1999-01-01,Production
77184,Vatsa,Kusakari,Senior Engineer,1986-03-26,1999-01-01,Quality Management
77184,Vatsa,Kusakari,Senior Engineer,1986-03-26,1999-01-01,Production
77186,Irene,Crooks,Senior Staff,1993-10-27,1999-01-01,Sales
77186,Irene,Crooks,Staff,1985-10-27,1993-10-27,Sales
77193,Keiichiro,Benzmuller,Assistant Engineer,1993-11-22,2001-11-22,Production
77193,Keiichiro,Benzmuller,Engineer,2001-11-22,1999-01-01,Production
77195,Owen,Birrer,Senior Staff,1992-10-13,1999-01-01,Customer Service
77195,Owen,Birrer,Staff,1987-10-14,1992-10-13,Customer Service
77195,Owen,Birrer,Senior Staff,1992-10-13,1999-01-01,Development
77195,Owen,Birrer,Staff,1987-10-14,1992-10-13,Development
77196,Lillian,Benner,Senior Staff,1993-03-13,1999-01-01,Research
77196,Lillian,Benner,Staff,1985-03-13,1993-03-13,Research
77201,Kiyotoshi,Butner,Staff,1999-12-13,1999-01-01,Sales
77205,Toshiki,Nivat,Senior Staff,1994-01-13,1999-01-01,Human Resources
77205,Toshiki,Nivat,Senior Staff,1994-01-13,1999-01-01,Finance
77208,Bartek,Malabarba,Technique Leader,1999-11-23,1999-01-01,Production
77211,Kasturi,Msuda,Senior Staff,1998-12-24,1999-01-01,Human Resources
77212,Shaowen,Einsfeld,Technique Leader,1998-11-24,1999-01-01,Production
77218,Zhilian,Hettesheimer,Engineer,1997-02-10,1999-01-01,Production
77225,Tomokazu,Cannard,Engineer,1986-06-04,1994-06-04,Quality Management
77225,Tomokazu,Cannard,Senior Engineer,1994-06-04,1999-01-01,Quality Management
77231,Yuqun,Luft,Engineer,1988-12-07,1995-12-08,Quality Management
77231,Yuqun,Luft,Senior Engineer,1995-12-08,1999-01-01,Quality Management
77232,Kinh,Krogh,Senior Staff,1994-11-13,1999-01-01,Sales
77232,Kinh,Krogh,Staff,1985-11-13,1994-11-13,Sales
77232,Kinh,Krogh,Senior Staff,1994-11-13,1999-01-01,Marketing
77232,Kinh,Krogh,Staff,1985-11-13,1994-11-13,Marketing
77234,Kazuhisa,Krohm,Engineer,1986-05-01,1991-05-01,Development
77234,Kazuhisa,Krohm,Senior Engineer,1991-05-01,1999-01-01,Development
77241,Uri,Sommen,Engineer,1992-07-24,1997-07-24,Development
77241,Uri,Sommen,Senior Engineer,1997-07-24,1999-01-01,Development
77244,Garnet,Docker,Staff,1997-01-18,1999-01-01,Marketing
77263,Arto,Keustermans,Senior Staff,1995-09-30,1999-01-01,Sales
77263,Arto,Keustermans,Staff,1988-09-29,1995-09-30,Sales
77263,Arto,Keustermans,Senior Staff,1995-09-30,1999-01-01,Marketing
77263,Arto,Keustermans,Staff,1988-09-29,1995-09-30,Marketing
77279,Xuejun,Burnard,Staff,1997-08-31,1999-01-01,Sales
77292,Berhard,Roccetti,Assistant Engineer,1995-01-25,2002-01-25,Production
77292,Berhard,Roccetti,Engineer,2002-01-25,1999-01-01,Production
77295,Weijing,Taubman,Senior Staff,1993-06-17,1999-01-01,Research
77295,Weijing,Taubman,Staff,1985-06-17,1993-06-17,Research
77297,Wanqing,Zumaque,Staff,1999-04-14,1999-01-01,Sales
77302,Lihong,Reinhart,Engineer,1985-12-29,1994-12-29,Development
77302,Lihong,Reinhart,Senior Engineer,1994-12-29,1999-01-01,Development
77314,Augustine,Fabrizio,Engineer,1986-12-16,1992-12-15,Production
77314,Augustine,Fabrizio,Senior Engineer,1992-12-15,1999-01-01,Production
77316,Peternela,Milicic,Engineer,1987-12-13,1995-12-13,Development
77316,Peternela,Milicic,Senior Engineer,1995-12-13,1999-01-01,Development
77324,Gila,Isaac,Senior Staff,1992-02-21,1999-01-01,Sales
77324,Gila,Isaac,Staff,1987-02-21,1992-02-21,Sales
77325,Feiyu,Brickell,Senior Staff,2002-07-03,1999-01-01,Sales
77325,Feiyu,Brickell,Staff,1994-07-03,2002-07-03,Sales
77331,Jolita,Restivo,Senior Staff,1994-10-14,1999-01-01,Research
77331,Jolita,Restivo,Staff,1988-10-14,1994-10-14,Research
77334,Jaber,Hegner,Engineer,1997-02-16,1999-01-01,Development
77344,Gian,Lorch,Technique Leader,1988-04-05,1999-01-01,Development
77346,Shir,Walston,Senior Staff,1999-06-21,1999-01-01,Sales
77346,Shir,Walston,Staff,1990-06-21,1999-06-21,Sales
77349,Goncalo,Butterworth,Senior Staff,1990-07-11,1999-01-01,Customer Service
77349,Goncalo,Butterworth,Staff,1985-07-11,1990-07-11,Customer Service
77359,Anneke,Dengi,Staff,1994-02-24,1999-01-01,Customer Service
77359,Anneke,Dengi,Staff,1994-02-24,1999-01-01,Development
77365,Elvia,Haddadi,Senior Staff,1994-06-19,1999-01-01,Research
77365,Elvia,Haddadi,Staff,1987-06-19,1994-06-19,Research
77374,Laurentiu,Greibach,Engineer,1987-07-23,1992-07-22,Development
77374,Laurentiu,Greibach,Senior Engineer,1992-07-22,1999-01-01,Development
77378,Zissis,Crelier,Senior Engineer,1988-03-03,1999-01-01,Development
77386,Bowen,McFarlan,Senior Staff,1995-07-03,1999-01-01,Research
77386,Bowen,McFarlan,Staff,1986-07-03,1995-07-03,Research
77390,Gully,Larfeldt,Senior Staff,1985-09-02,1999-01-01,Research
77391,JiYoung,Polupanov,Technique Leader,1986-02-23,1999-01-01,Development
77394,Mary,Wielonsky,Engineer,1986-10-14,1994-10-14,Development
77394,Mary,Wielonsky,Senior Engineer,1994-10-14,1999-01-01,Development
77406,Surveyors,Choobineh,Senior Engineer,1986-11-25,1999-01-01,Research
77406,Surveyors,Choobineh,Senior Engineer,1986-11-25,1999-01-01,Development
77414,Kwun,Lienhardt,Engineer,1996-05-29,2001-05-29,Development
77414,Kwun,Lienhardt,Senior Engineer,2001-05-29,1999-01-01,Development
77420,Jiakeng,Masand,Engineer,1989-12-20,1994-12-20,Quality Management
77420,Jiakeng,Masand,Senior Engineer,1994-12-20,1999-01-01,Quality Management
77438,Dekang,Engberts,Engineer,1986-04-24,1992-04-23,Quality Management
77438,Dekang,Engberts,Senior Engineer,1992-04-23,1999-01-01,Quality Management
77441,Sachio,Luca,Engineer,1987-09-21,1994-09-21,Development
77441,Sachio,Luca,Senior Engineer,1994-09-21,1999-01-01,Development
77455,Atilio,Coullard,Engineer,1988-03-30,1994-03-30,Development
77455,Atilio,Coullard,Senior Engineer,1994-03-30,1999-01-01,Development
77458,Subhankar,Cannard,Engineer,1988-12-14,1996-12-14,Development
77458,Subhankar,Cannard,Senior Engineer,1996-12-14,1999-01-01,Development
77460,Kiam,Usdin,Engineer,1987-10-28,1993-10-27,Development
77460,Kiam,Usdin,Senior Engineer,1993-10-27,1999-01-01,Development
77466,Takahiro,Matzel,Engineer,1988-11-28,1993-11-28,Quality Management
77466,Takahiro,Matzel,Senior Engineer,1993-11-28,1999-01-01,Quality Management
77466,Takahiro,Matzel,Engineer,1988-11-28,1993-11-28,Production
77466,Takahiro,Matzel,Senior Engineer,1993-11-28,1999-01-01,Production
77469,Constantino,Lanzelotte,Senior Staff,1987-10-15,1999-01-01,Customer Service
77475,Chinho,Ouhyoung,Senior Engineer,1988-12-26,1999-01-01,Quality Management
77475,Chinho,Ouhyoung,Senior Engineer,1988-12-26,1999-01-01,Development
77481,Kitty,Picel,Senior Staff,1994-10-31,1999-01-01,Sales
77481,Kitty,Picel,Staff,1986-10-31,1994-10-31,Sales
77500,Takahira,Iwayama,Senior Staff,1996-07-06,1999-01-01,Marketing
77500,Takahira,Iwayama,Staff,1988-07-06,1996-07-06,Marketing
77531,Padma,Czaja,Assistant Engineer,1990-08-11,1998-08-11,Development
77531,Padma,Czaja,Engineer,1998-08-11,1999-01-01,Development
77535,Yonghong,Codenie,Senior Staff,1992-05-23,1999-01-01,Human Resources
77535,Yonghong,Codenie,Staff,1985-05-23,1992-05-23,Human Resources
77538,Masadi,Remmers,Engineer,1986-03-09,1995-03-09,Development
77538,Masadi,Remmers,Senior Engineer,1995-03-09,1999-01-01,Development
77540,Tse,Werthner,Senior Engineer,1986-12-22,1999-01-01,Production
77541,Hideo,Furudate,Engineer,1986-01-30,1994-01-30,Research
77541,Hideo,Furudate,Senior Engineer,1994-01-30,1999-01-01,Research
77541,Hideo,Furudate,Engineer,1986-01-30,1994-01-30,Development
77541,Hideo,Furudate,Senior Engineer,1994-01-30,1999-01-01,Development
77545,Gopalakrishnan,Paciorek,Engineer,1987-11-09,1994-11-09,Development
77545,Gopalakrishnan,Paciorek,Senior Engineer,1994-11-09,1999-01-01,Development
77551,Lansing,Ossenbruggen,Senior Staff,1988-05-28,1999-01-01,Sales
77554,Troy,Iisaka,Engineer,1987-06-14,1993-06-13,Production
77554,Troy,Iisaka,Senior Engineer,1993-06-13,1999-01-01,Production
77558,Ranga,Welham,Engineer,1987-08-09,1996-08-08,Production
77558,Ranga,Welham,Senior Engineer,1996-08-08,1999-01-01,Production
77562,Gianluca,Openshaw,Senior Engineer,1985-12-14,1999-01-01,Development
77562,Gianluca,Openshaw,Senior Engineer,1985-12-14,1999-01-01,Production
77568,Erzsebet,Peck,Senior Staff,2001-05-20,1999-01-01,Sales
77568,Erzsebet,Peck,Staff,1993-05-20,2001-05-20,Sales
77571,Odoardo,Coorg,Senior Staff,1996-12-07,1999-01-01,Customer Service
77571,Odoardo,Coorg,Staff,1990-12-08,1996-12-07,Customer Service
77571,Odoardo,Coorg,Senior Staff,1996-12-07,1999-01-01,Production
77571,Odoardo,Coorg,Staff,1990-12-08,1996-12-07,Production
77573,Gro,Barriga,Senior Staff,2000-10-01,1999-01-01,Research
77573,Gro,Barriga,Staff,1994-10-02,2000-10-01,Research
77599,Gudjon,Rosca,Senior Staff,1995-04-23,1999-01-01,Marketing
77599,Gudjon,Rosca,Staff,1988-04-22,1995-04-23,Marketing
77601,Frederique,Toyoshima,Senior Staff,1994-05-03,1999-01-01,Research
77601,Frederique,Toyoshima,Staff,1986-05-03,1994-05-03,Research
77610,Sanjeeva,Kadhim,Senior Engineer,1993-11-29,1999-01-01,Production
77613,Stabislas,Frijda,Staff,1997-07-28,1999-01-01,Human Resources
77615,Jianwen,Krupka,Staff,1999-11-04,1999-01-01,Sales
77615,Jianwen,Krupka,Staff,1999-11-04,1999-01-01,Marketing
77623,Takushi,Anger,Engineer,1987-08-21,1993-08-20,Production
77623,Takushi,Anger,Senior Engineer,1993-08-20,1999-01-01,Production
77641,Berni,Nishimukai,Senior Staff,1993-04-06,1999-01-01,Sales
77641,Berni,Nishimukai,Staff,1987-04-07,1993-04-06,Sales
77644,Ziva,Swen,Senior Engineer,1985-07-25,1999-01-01,Production
77650,Idoia,Bennis,Engineer,1988-10-04,1993-10-04,Production
77650,Idoia,Bennis,Senior Engineer,1993-10-04,1999-01-01,Production
77653,Geraldo,Chartres,Engineer,1998-06-12,1999-01-01,Quality Management
77653,Geraldo,Chartres,Engineer,1998-06-12,1999-01-01,Production
77659,Owen,Sridhar,Senior Staff,1992-12-31,1999-01-01,Customer Service
77659,Owen,Sridhar,Staff,1987-01-01,1992-12-31,Customer Service
77663,Taiji,Lamma,Engineer,1993-12-27,2000-12-27,Production
77663,Taiji,Lamma,Senior Engineer,2000-12-27,1999-01-01,Production
77665,Paddy,Fargier,Engineer,1998-07-10,1999-01-01,Development
77675,Mohua,Domenig,Senior Staff,2000-03-19,1999-01-01,Customer Service
77675,Mohua,Domenig,Staff,1992-03-19,2000-03-19,Customer Service
77689,Abdelkader,Swan,Senior Staff,1992-11-15,1999-01-01,Sales
77689,Abdelkader,Swan,Staff,1986-11-16,1992-11-15,Sales
77691,Christoper,Showalter,Staff,1997-01-08,1999-01-01,Finance
77702,Barna,Jiang,Senior Staff,1993-11-22,1999-01-01,Sales
77702,Barna,Jiang,Staff,1988-11-22,1993-11-22,Sales
77712,Hercules,Casley,Senior Staff,1997-07-29,1999-01-01,Marketing
77712,Hercules,Casley,Staff,1990-07-29,1997-07-29,Marketing
77722,Bodo,Denti,Senior Staff,1992-03-11,1999-01-01,Research
77722,Bodo,Denti,Staff,1985-03-11,1992-03-11,Research
77741,Claude,Felcyn,Senior Staff,1991-10-09,1999-01-01,Customer Service
77741,Claude,Felcyn,Staff,1985-10-09,1991-10-09,Customer Service
77743,Fen,Pollacia,Senior Staff,1996-03-05,1999-01-01,Customer Service
77743,Fen,Pollacia,Staff,1987-03-06,1996-03-05,Customer Service
77746,Yuqun,Lanzelotte,Senior Staff,2001-11-02,1999-01-01,Finance
77746,Yuqun,Lanzelotte,Staff,1992-11-02,2001-11-02,Finance
77749,Mayumi,Bharadwaj,Engineer,1988-02-02,1997-02-01,Quality Management
77749,Mayumi,Bharadwaj,Senior Engineer,1997-02-01,1999-01-01,Quality Management
77749,Mayumi,Bharadwaj,Engineer,1988-02-02,1997-02-01,Development
77749,Mayumi,Bharadwaj,Senior Engineer,1997-02-01,1999-01-01,Development
77763,Mahmut,Mitchem,Senior Staff,1993-08-18,1999-01-01,Human Resources
77763,Mahmut,Mitchem,Staff,1987-08-19,1993-08-18,Human Resources
77768,Tokuyasu,Picel,Engineer,1987-12-22,1996-12-21,Development
77768,Tokuyasu,Picel,Senior Engineer,1996-12-21,1999-01-01,Development
77770,Gen,Przulj,Engineer,1992-01-04,2001-01-03,Research
77770,Gen,Przulj,Senior Engineer,2001-01-03,1999-01-01,Research
77770,Gen,Przulj,Engineer,1992-01-04,2001-01-03,Development
77770,Gen,Przulj,Senior Engineer,2001-01-03,1999-01-01,Development
77803,Armond,Schwartzburd,Senior Staff,1994-03-05,1999-01-01,Finance
77803,Armond,Schwartzburd,Staff,1985-03-05,1994-03-05,Finance
77814,Ferdinand,Otillio,Senior Engineer,1988-12-12,1999-01-01,Development
77829,Flemming,Parfitt,Staff,1999-12-02,1999-01-01,Finance
77838,Shuzo,Piazza,Engineer,1990-07-13,1996-07-12,Development
77838,Shuzo,Piazza,Senior Engineer,1996-07-12,1999-01-01,Development
77847,Aron,Haumacher,Senior Engineer,1990-06-21,1999-01-01,Development
77852,Niranjan,Parascandalo,Senior Staff,1994-09-29,1999-01-01,Customer Service
77852,Niranjan,Parascandalo,Staff,1987-09-29,1994-09-29,Customer Service
77856,Basil,Crelier,Staff,1997-07-13,1999-01-01,Human Resources
77869,Masamitsu,Swick,Engineer,1991-02-27,1999-02-27,Quality Management
77869,Masamitsu,Swick,Senior Engineer,1999-02-27,1999-01-01,Quality Management
77884,Danel,Pollacia,Senior Engineer,1991-01-23,1999-01-01,Development
77893,Kien,Wegerle,Engineer,1986-05-17,1991-05-17,Development
